Clc(cc1)cc(CCc2c3nccc2)c1C3=C1CCNCC1	binder2580-ACTIVE
O=C(C1CCN(CCN(C(c(cccc2)c2N2)=O)C2=O)CC1)c(cc1)ccc1F	binder2895-ACTIVE
CC(C)OP(OC(C)C)(SCCNS(c1ccccc1)(=O)=O)=S	binder2896-ACTIVE
O=C(c(cccc1C(F)(F)F)c1Cl)NC(C1NCCCC1)c1ccccc1	binder2897-ACTIVE
C/C(/n1cncc1)=C(/c(ccc(Cl)c1)c1Cl)\OCCOc(cc1)ccc1Cl	binder2899-ACTIVE
CC(N=C1N2C=CC=C1)=C(CCN(CC1)CCC1C(c(cc1)ccc1F)=O)C2=O	binder2900-ACTIVE
Cc1cc(C)c(C(P(c2ccccc2)(c2ccccc2)=O)=O)c(C)c1	binder2901-ACTIVE
CCOC(C(C)Oc(cc1)ccc1Oc1cnc(cc(cc2)Cl)c2n1)=O	binder2904-ACTIVE
CC(C)(C1C=C(C)C)C1C(OCN(C(C1=C2CCCC1)=O)C2=O)=O	binder2905-ACTIVE
CCN(CC)CCOC(C1(CCCCC1)C1CCCCC1)=O	binder2906-ACTIVE
CCN(CC)CCOc1ccc(C(Cc(cc2)ccc2Cl)(c2ccc(C)cc2)O)cc1	binder2910-ACTIVE
CC(C)CC(C)Nc(cc1)ccc1Nc1ccccc1	binder2912-ACTIVE
NC(NN=C(C=Cc1ccc([N+]([O-])=O)o1)C=Cc1ccc([N+]([O-])=O)o1)=N	binder2915-ACTIVE
COC(CN(CCCOc(cc1)ccc1F)CC1)C1NC(c(c(OC)c1)cc(Cl)c1N)=O	binder2917-ACTIVE
CCCCCCC(C)OC(COc(c(Cl)c1N)nc(F)c1Cl)=O	binder2918-ACTIVE
CCN(CC)CCSC(C(c1ccccc1)c1ccccc1)=O	binder2919-ACTIVE
CCCCN(CCCC)CC(c1c(-c(ccc(Cl)c2)c2/C2=C\c(cc3)ccc3Cl)c2cc(Cl)c1)O	binder2920-ACTIVE
CCCN(CCC)C(Cc1c(-c(cc2)ccc2Cl)nc(cc2)n1cc2Cl)=O	binder2921-ACTIVE
CC(C)(C)C(/C(/n1ncnc1)=C\c(ccc(Cl)c1)c1Cl)O	binder2922-ACTIVE
Nc(cc1)ccc1C(N1CC(C2)CN(Cc3ccccc3)CC2C1)=O	binder2923-ACTIVE
Oc(cc1)ccc1-c1c(C(c(cc2)ccc2OCCN2CCCCC2)=O)c(ccc(O)c2)c2s1	binder2925-ACTIVE
CCCCOc1nc2ccccc2c(C(NCCN(CC)CC)=O)c1	binder2927-ACTIVE
CC(N=C1SC=CN11)=C(CCN(CC2)CCC2=C(c(cc2)ccc2F)c(cc2)ccc2F)C1=O	binder2928-ACTIVE
CCCCCOC(COc(cc(c(F)c1)N(C(C2=C3CCCC2)=O)C3=O)c1Cl)=O	binder2929-ACTIVE
CN(C(CC1)C2)C1CC2OC(c1c[nH]c2c1cccc2)=O	binder2930-ACTIVE
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ncccc1)C(C)C	binder2931-ACTIVE
CC(C(c1ccccc1)O)N(C)C/C=C/c1ccccc1	binder2932-ACTIVE
CNCCCCOc1c(Cc2ccccc2)cccc1	binder2933-ACTIVE
CC(C)(C)c(cc1)ccc1C(CCCN(CC1)CCC1OC(c1ccccc1)c1ccccc1)=O	binder2934-ACTIVE
CCC(N(C1CCN(CCc2ccccc2)CC1)c(cc1)ccc1F)=O	binder2935-ACTIVE
CN(C)CCN(Cc(cc1)ccc1OC)c1ncccc1	binder2936-ACTIVE
CCN(CC)CCn1c(ccc([N+]([O-])=O)c2)c2nc1Cc(cc1)ccc1OCC	binder2937-ACTIVE
CC(C)(C)C#C/C=C/CN(C)Cc1cccc2ccccc12	binder2938-ACTIVE
CCOc(cc1)cc2c1nc(N)s2	binder2940-ACTIVE
O=C(C=CC1=O)N1c1ccccc1	binder2941-ACTIVE
CCN(CC)C(SCC(Cl)=C)=S	binder2942-ACTIVE
CCCCCCCCC=CCCCCCCCC1=NCCN1CCO	binder2943-ACTIVE
CC(COc(cc1)ccc1Oc1ccccc1)Oc1ncccc1	binder2944-ACTIVE
O=C(c1c2cccc1)N(CCCCN(CC1)CCN1c1ncccn1)S2(=O)=O	binder2945-ACTIVE
CCOP(OC(C)C)(Oc1cnc(C(C)(C)C)nc1)=S	binder2947-ACTIVE
CC(C)(C)c1ccc(CSC(C=NN(C(C)(C)C)C2=O)=C2Cl)cc1	binder2948-ACTIVE
OC(c1ccccc1)(c1ccccc1)C#CCN1CCCC1	binder2949-ACTIVE
Oc(cc1)c(Cc(cc(cc2)Cl)c2O)cc1Cl	binder2950-ACTIVE
CCN(CC)CCOc1ccc(Cc2ccccc2)cc1	binder2951-ACTIVE
CCCCCC(C)OC(COc(c1ncccc11)ccc1Cl)=O	binder2952-ACTIVE
CCCN(CCc1cccs1)C(CC1)Cc2c1c(O)ccc2	binder2953-ACTIVE
Cc(cc1CC2)cc(C(c3ccccc3)=NC3NC(c4ccncc4)=O)c1N2C3=O	binder2954-ACTIVE
Cc1nc(cccc2)c2n1C1CC(CC2)N(CCC(CC3)(CCN3C(c(cc(c(F)c3)S(NC)(=O)=O)c3Cl)=O)c3cc(F)ccc3)C2C1	binder2955-ACTIVE
CCOC(C(C1N)(c2ccccc2)Oc2c1cccc2)=O	binder2956-ACTIVE
Cc1c2N=C(c(cccc3)c3Cl)c(cc(cc3)[N+]([O-])=O)c3Nc2n[nH]1	binder2957-ACTIVE
C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ncc(NC(=O)c3ccc(OC(F)F)cn3)s2)CO1	CHEMBL4574502-ACTIVE
CCCCCN(CCCCC)Cc1cc(C(=O)O)ccc1NC(=O)c1cc2cc(F)cc(NC)c2[nH]c1=O	CHEMBL4798088-ACTIVE
Nc1nccc(Sc2cnc(N3CCC4(CCC[C@H]4N)CC3)cn2)c1Cl	CHEMBL4763213-ACTIVE
CC(C)N1CCC(c2ccc(/C(=C(/CCCO)c3ccc(F)cc3)c3ccc(O)cc3)cc2)CC1	CHEMBL4746975-ACTIVE
C[C@H](NC(=O)c1cc(C(F)(F)F)nn1C)c1nc(-c2ccnc(C(F)(F)F)c2)no1	CHEMBL4741793-ACTIVE
COc1ccc(CC(C)(C)NC[C@H](O)COc2cccc3[nH]c(=O)[nH]c23)cc1	CHEMBL486278-ACTIVE
Cc1cccc(N2CCN(CCNC(=O)c3cc(C(C)(C)C)n(C)c3C)CC2)c1C	CHEMBL1214595-ACTIVE
C[C@@H](Oc1nnc(-c2ccncc2)n1C)c1noc(-c2cccc(Cl)c2)n1	CHEMBL2069926-ACTIVE
NC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1	CHEMBL550063-ACTIVE
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4cccs4)nc31)[C@H](O)[C@@H]2O	CHEMBL3407783-ACTIVE
Cc1ccc(N2CCN(Cc3cc(C(=O)N[C@H]4CCCC[C@@H]4O)c(=O)n4ccccc34)CC2)nc1	CHEMBL2204276-ACTIVE
COc1ccc(S(=O)(=O)NCCc2cn(CC(=O)Nc3ccc(Cl)cc3)c3ccccc23)cc1	CHEMBL2440396-ACTIVE
CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1	CHEMBL100454-ACTIVE
Cc1cccc([C@H]2CC[C@@H](CNC(=O)c3ccc(-c4nc5cc(C#N)cc(C(C)C)c5o4)cc3)CC2)c1	CHEMBL1771129-ACTIVE
NC(=O)c1cc(Cl)c2cc(-c3cc4c(s3)CNCC4)cnn12	CHEMBL4744702-ACTIVE
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nccnc1OCc1ccccc1	CHEMBL4293473-ACTIVE
CN(C/C=C/c1ccc(-c2ccccc2)cc1)Cc1ccc2c(c1)CCO2	CHEMBL4075121-ACTIVE
CC1(C)CCc2cc(CN3CCC4(CC3)CCN(C(=O)c3ccncn3)CC4)ccc2O1	CHEMBL568503-ACTIVE
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1	CHEMBL2346974-ACTIVE
COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C)cc2)cc1	CHEMBL572153-ACTIVE
CC(C)(NCc1cc([C@]2(C)CCSC(N)=N2)c(F)cc1F)C(F)(F)F	CHEMBL4094377-ACTIVE
CNCc1cnc(C)cc1Oc1ccccc1Oc1ccccc1	CHEMBL273208-ACTIVE
O=C(CNc1ccnc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1	CHEMBL2315941-ACTIVE
O=C(NC1CCN(C2CCc3cc4c(cc32)OCO4)CC1)c1cc(=O)c2cc(F)ccc2o1	CHEMBL214585-ACTIVE
C=CC(=O)N1CCC(Cn2cc(-c3ccc4c(c3)OCO4)c3c(N)ncnc32)CC1	CHEMBL4755698-ACTIVE
CNC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1	CHEMBL590791-ACTIVE
CC1(c2ccccc2)CCN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)CC1	CHEMBL518922-ACTIVE
Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C	CHEMBL515001-ACTIVE
O=C(NCCN1CCCC1)c1cc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)nc2ccc(F)cc12	CHEMBL4783407-ACTIVE
COCCOc1cc(NC(=O)N2CCCc3cc(CN(CCN(C)C)C(C)=O)c(C=O)nc32)ncc1C#N	CHEMBL4780066-ACTIVE
Cc1nnc(-c2nn(C)c3ccc(Nc4nccc(-n5cc(N[C@@H]6CCOC[C@@H]6N)c(C)n5)n4)cc23)o1	CHEMBL4740533-ACTIVE
C[C@@H](Nc1nc2c(cnn2C(C)(C)C)c(=O)n1Cc1ccc(F)cc1)c1ccc(Cl)cc1	CHEMBL4644729-ACTIVE
C[C@H](Nc1c(C(N)=O)cnc2ccc(-c3cccnc3)cc12)c1ccn(C)n1	CHEMBL4591401-ACTIVE
COc1cc(C(O)(CCn2ccnc2)C(c2cc3cc(Br)ccc3nc2OC)c2cccc(OC)c2OC)cc(OC)n1	CHEMBL4590996-ACTIVE
Cc1c(F)c(Nc2ccc(-c3cn(C)cn3)cn2)cc2c1ncn2CC1CC1	CHEMBL4581355-ACTIVE
CNC(=O)[C@@H]1C[C@H](N2CCc3c(cccc3OCCC3CC3)C2)CN1C(=O)c1ccc(CN)c(OC)c1	CHEMBL4528713-ACTIVE
COC[C@H]1Cn2cc(-c3nc(Nc4ccnn4C)ncc3C)nc2C(=O)N1Cc1ccc(F)c(F)c1	CHEMBL4482864-ACTIVE
COc1ncc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cc1C#N	CHEMBL4467868-ACTIVE
CC(C)Oc1cc([C@@](Cc2ccccc2)(NC(=O)C(O)C(O)(C(F)(F)F)C(F)(F)F)c2cc(F)cc(OC(F)(F)C(F)F)c2)ccc1F	CHEMBL4439823-ACTIVE
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1	CHEMBL4297674-ACTIVE
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@@H](C)C(=O)N(C)C)c34)cc2C)cn1	CHEMBL429760-ACTIVE
Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4cccnc4)ccc3ncc21	CHEMBL4169828-ACTIVE
COc1ccc(-c2nnc(C(=O)N3CCC(Oc4ccc(CN5CCCC5)cc4)CC3)o2)cc1	CHEMBL3786572-ACTIVE
O=C(O)CN(Cc1cccc(-c2ccccc2OC(F)(F)F)c1)S(=O)(=O)c1ccc(OC(F)F)cc1	CHEMBL3764377-ACTIVE
Cc1nsc(NC(=O)c2cc(Oc3ccc(C(=O)N4CCC4)cc3)cc(O[C@@H](C)CO)c2)n1	CHEMBL3219109-ACTIVE
C[C@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)CCO	CHEMBL256060-ACTIVE
O=C(NCCN1CCCC1)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c(Cl)c1	CHEMBL246258-ACTIVE
COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1C1CCN(C(C)C)CC1	CHEMBL2409409-ACTIVE
CC(=O)Nc1cc(Nc2cc(NC3CCC3)n3ncc(C#N)c3n2)ccc1C	CHEMBL2409181-ACTIVE
COc1ccc(NC(=O)c2ccc(Cn3ccnn3)c3ccccc23)c(C(=O)NCC2CCOCC2)n1	CHEMBL2316378-ACTIVE
CC(C)(C)OC(=O)N1CC(N2C(=O)c3ccccc3C2C(=O)NCc2ccc(OC(F)(F)F)cc2)C1	CHEMBL2164375-ACTIVE
CCN(CC)C(=O)c1ccc([C@H](c2cccc(NC(=O)C3CC3)c2)N2CCN(Cc3ccc(F)cc3)CC2)cc1	CHEMBL1939737-ACTIVE
CS(=O)(=O)N1CCN(C(=O)c2cnc3ccc(F)cc3c2-c2ccc(C3(C#N)CC3)cc2)CC1	CHEMBL4206272-ACTIVE
O=C1NCCC12CCN(c1c(Cl)cncc1-c1cc3ccccc3o1)CC2	CHEMBL4777349-ACTIVE
Nc1cc(F)c(S(=O)(=O)N2CCC(O)CC2)cc1C(=O)Nc1cc(F)c(F)c(F)c1	CHEMBL4463663-ACTIVE
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1	CHEMBL3301610-ACTIVE
CC1(C)OC(=O)N([C@H]2CC[C@H](c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1	CHEMBL3099716-ACTIVE
Cc1nn(C)c(C)c1-c1nc2c(N3CCN(Cc4cccnc4)CC3)c(Br)cnc2[nH]1	CHEMBL3891461-ACTIVE
COc1ccc(-n2cnc3c(-c4ccccc4)csc3c2=O)cc1	CHEMBL3330811-ACTIVE
C[N+](C)(CCCCNC(=O)Cc1ccc(OCc2ccccc2)cc1)CCNC(=O)c1nc(Cl)c(N)nc1N	CHEMBL1945199-ACTIVE
Fc1ccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1	CHEMBL2346968-ACTIVE
C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccc(F)cn3)cs2)CO1	CHEMBL3979124-ACTIVE
C[C@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cccc(C(F)(F)F)c3)c2)CN1	CHEMBL3747266-ACTIVE
O=C(Nc1cnc(Oc2ccc(F)cc2)nc1)N1CCc2ncccc2[C@@H]1c1ccc(F)cc1	CHEMBL4458424-ACTIVE
CCc1cc2c(s1)CCN1Cc3ccccc3CC21	CHEMBL4169575-ACTIVE
C[C@]1(COc2ccc(OC(F)(F)F)cc2)Cn2cc([N+](=O)[O-])nc2O1	CHEMBL218974-ACTIVE
N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@H](NCc3cncn3C2)C1=O	CHEMBL53821-ACTIVE
Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1cnc2[nH]nc(C)c2n1	CHEMBL595944-ACTIVE
C[C@H](CN[C@@H](C(=O)Nc1ccc(-c2cnn(C)c2)cn1)c1ccccc1)c1ccc(C#N)cc1	CHEMBL4641354-ACTIVE
CCOC(=O)c1nn(-c2ccccc2)/c(=N/c2nc(-c3ccccc3)cc(-c3ccccc3)c2C#N)s1	CHEMBL3408387-ACTIVE
CCOc1ccc(-n2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c2C)nn1	CHEMBL237394-ACTIVE
Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1	CHEMBL237191-ACTIVE
Fc1cccc(OC(F)F)c1CC(c1ccccc1)N1CCNCC1	CHEMBL1086275-ACTIVE
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	CHEMBL294029-ACTIVE
CC(C)N1CC=C(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(O)c3)cc2)CC1	CHEMBL4793030-ACTIVE
N[C@@H]1CCC=C(c2ccc(F)cc2)[C@H]1COc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl	CHEMBL4076061-ACTIVE
Nc1nc2ccccc2n1CC(O)c1ccc(Cl)cc1Cl	CHEMBL3289799-ACTIVE
COc1cc(-c2cn(CC(=O)N3CCC(c4nc5ccccc5o4)CC3)nn2)ccc1-n1cnc(C)c1	CHEMBL2017562-ACTIVE
O=C(c1cccc(Cl)c1Cl)N(C1CCCC1)[C@H]1CCNC1	CHEMBL1080968-ACTIVE
N#Cc1cccc(-c2cc(F)ccc2CC(c2cccnc2)c2cccnc2)c1	CHEMBL4068841-ACTIVE
Nc1cccc(C(Cc2cccnc2-c2cc(Cl)cc(Cl)c2)c2cccnc2)n1	CHEMBL4067665-ACTIVE
COc1cc(F)ccc1-c1nc(Nc2ccc3c(N4CCOCC4)c(C(C)=O)c(=O)oc3c2)ncc1F	CHEMBL4788347-ACTIVE
Nc1nc2ccc(SC(F)(F)F)cc2s1	CHEMBL95463-ACTIVE
CN(C)CCC=C1c2ccccc2CCc2ccccc21	CHEMBL629-ACTIVE
Clc1cccc(OC(c2ccccn2)[C@H]2CCNC2)c1Cl	CHEMBL563495-ACTIVE
Cc1cccc(C)c1OCC(C)N	CHEMBL558-ACTIVE
CC(C)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12	CHEMBL53089-ACTIVE
Clc1ccc(C23CNCC2C3)cc1Cl	CHEMBL528995-ACTIVE
C[C@H]1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CC5CCNCC5)c4)ccc3F)c2)CCN1	CHEMBL521523-ACTIVE
Nc1ncc(-c2ccc(C(=O)N3CCNCC3)cc2)nc1-c1ccc(C(F)(F)F)cc1	CHEMBL4798032-ACTIVE
CCS(=O)(=O)c1ccc(CNc2nc3cnc(-c4c(C)ncnc4C4CC4)nc3n([C@@H](C)C3CC3)c2=O)nc1	CHEMBL4787938-ACTIVE
CN1CCC(COc2cc(NC(=O)N3CCCc4cc(C(F)F)c(C=O)nc43)ncc2C#N)CC1	CHEMBL4785725-ACTIVE
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	CHEMBL475534-ACTIVE
Cc1cn([C@@H](C)[C@@H]2CCNC[C@@H]2F)c2nc(C(N)=O)cc(Cl)c12	CHEMBL4746428-ACTIVE
Cc1cnc(-c2ccc(OC(F)(F)F)cc2)n1Cc1ccccc1OCCC[C@@H](C)CC(=O)O	CHEMBL4649683-ACTIVE
NC(=O)[C@H]1CC[C@@H](c2ccc(OCc3ccccc3F)cc2)N1	CHEMBL4647983-ACTIVE
NC(=O)c1cnc2c(F)cc(-c3cccnc3)cc2c1NC1CCOCC1	CHEMBL4584911-ACTIVE
Cc1ccc(-c2cc3ncncc3c(NC[C@H]3CCCNC3)n2)cc1	CHEMBL4570737-ACTIVE
COC(=O)c1ccc(COc2ccc3nc(N)sc3c2)cc1	CHEMBL4540341-ACTIVE
COc1cccc2c(=O)n(C)c(-c3ccc(OC4CCN(C5CCC5)CC4)cc3)nc12	CHEMBL453892-ACTIVE
Cc1cnc(Nc2cccnc2F)nc1-c1c[nH]c2c(NC(=O)[C@@H](C)N3CCN(C)CC3)cccc12	CHEMBL4466590-ACTIVE
FC(F)(F)Oc1ccc(Oc2ccc(N3CCC4(CC3)OCCc3sccc34)cc2)cc1	CHEMBL4288117-ACTIVE
Cc1cc(-n2cc3c(n2)CN(C(=O)c2cc(C#N)ccc2OC(C)C)C3)ccn1	CHEMBL4207171-ACTIVE
OC(Cc1cccnc1-c1cccc(C(F)(F)F)c1)(c1cccnc1F)c1cccnc1F	CHEMBL4084347-ACTIVE
Cc1c(CN2CCOCC2)cc(-c2ccc(C(C)C)cc2)n1-c1ccc(F)cc1	CHEMBL4069395-ACTIVE
O[C@H]1CC[C@H](Nc2ccc3ncc(-c4cccc(C(F)(F)F)c4)n3n2)CC1	CHEMBL3979144-ACTIVE
Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1cnc2ccccc2c1=O	CHEMBL3918580-ACTIVE
Cc1c([C@@H]2CN3CCN(C(=O)Cc4ccc(-n5cnnn5)nc4)C[C@H]3CO2)ccc(F)c1C#N	CHEMBL3911740-ACTIVE
O=S1(=O)CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1	CHEMBL3908640-ACTIVE
Cc1c([C@H]2CN3CCN(C(=O)Cc4ccc(-n5cnnn5)nc4)C[C@H]3CO2)ccc2nonc12	CHEMBL3891108-ACTIVE
COc1nn(C2CCN(C(C)=O)CC2)cc1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1	CHEMBL3823522-ACTIVE
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN(C)C)c(C)c4)C3)o2)cc1	CHEMBL3786272-ACTIVE
CC1(C#N)CN(c2cc(COc3ccc(F)c(F)c3F)nc(-c3ccccn3)n2)C1	CHEMBL3740291-ACTIVE
Cc1c([C@@H](O)CN2CCN(CC(O)c3cc(C(F)(F)F)c(C#N)cn3)CC2)ccc2c1COC2=O	CHEMBL3612927-ACTIVE
CN(C)c1ccc(-c2cc3nccnc3c(OC[C@H]3CCCNC3)n2)cn1	CHEMBL3546703-ACTIVE
NC(=O)c1ncc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1	CHEMBL3416023-ACTIVE
O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccc2ncccc2c1	CHEMBL3358509-ACTIVE
COc1cnc2ccc(=O)n(CCN3CCN(c4nc5cc(C(F)(F)F)ccc5[nH]4)CC3)c2c1	CHEMBL3318984-ACTIVE
COc1ccc2c(ccc(=O)n2CCN2CCC(NCc3cnc(C)c(C#N)c3)CC2)n1	CHEMBL3290342-ACTIVE
CCCc1nc(Nc2cc(NCCN)nnc2C(N)=O)ccc1OC	CHEMBL3237579-ACTIVE
N#Cc1ccc(NC(=O)[C@H](CN2CC(O)C2)Oc2ncnc3c2cnn3-c2ccccc2Cl)nc1	CHEMBL3221519-ACTIVE
CCOC[C@H](Oc1ncnc2c1cnn2-c1ncccc1Cl)C(=O)Nc1ccc(Cl)cn1	CHEMBL3221495-ACTIVE
CC(C)(C)c1ccc2c(ccn2-c2ccc(F)cc2)c1	CHEMBL299590-ACTIVE
Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(F)c(F)c2)n1C)CC3	CHEMBL269995-ACTIVE
N#Cc1cnccc1COc1cnc(N2CCN(C(=O)OCC(F)(F)F)CC2)nc1	CHEMBL2382414-ACTIVE
COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)CS2)cc1	CHEMBL2380455-ACTIVE
OCCN1CC=CC[C@H](c2ccc(Cl)c(Cl)c2)C1	CHEMBL2326693-ACTIVE
CN1CCCCC(c2ccc(Cl)c(Cl)c2)C1	CHEMBL2326691-ACTIVE
Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1	CHEMBL2207663-ACTIVE
CN1C[C@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)[C@@H](C(=O)Nc2ccc(Cl)cc2)C1	CHEMBL2177587-ACTIVE
COc1ncc(-c2ccccc2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1	CHEMBL2147210-ACTIVE
COc1ccc2c(=O)n(CC(CO)NCc3cccnc3)c(C#N)c(-c3ccccc3)c2c1	CHEMBL214553-ACTIVE
Cc1ccc(-n2nc(C)c(C(=O)N[C@@H]3COc4cccc(N5CCN(C)CC5)c4C3)n2)c(C)c1	CHEMBL2069404-ACTIVE
CCN1CCN[C@@H](C(=O)N2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1	CHEMBL2036780-ACTIVE
O=C(C1CCN(c2cccc(C(F)(F)F)n2)CC1)N1CC[C@H](N[C@H]2CC[C@@](O)(c3ccc(-c4ncccn4)cn3)CC2)C1	CHEMBL2029567-ACTIVE
CCC(NCCCC[C@@H](C[C@@H](OC)c1ccc(F)cc1)C(=O)NO)c1ccc(F)cc1	CHEMBL2012838-ACTIVE
FC(F)(F)Oc1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1	CHEMBL1952113-ACTIVE
COC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(C2CCC2)CC1	CHEMBL1823049-ACTIVE
O=C(C1CC(Oc2ccc(F)cc2)CN1)N1CCCN(C2CCC2)CC1	CHEMBL1823044-ACTIVE
O=C(NCC1(N2CCOCC2)CCCC1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1	CHEMBL1822294-ACTIVE
C[C@@H]1CCCN1CCCOc1ccc(-c2cn[nH]c(=O)c2)cc1	CHEMBL1813065-ACTIVE
CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c1ccccc1	CHEMBL1762472-ACTIVE
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1	CHEMBL17350-ACTIVE
CC(C)(CN1CCC(=C2c3ccc(F)cc3COc3ccccc32)CC1)C(=O)O	CHEMBL1671901-ACTIVE
COc1ccc(CC(=O)NCc2ccccc2-c2ccccc2C(=O)NCCc2cccnc2)cc1	CHEMBL1671897-ACTIVE
CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1)C(F)(F)F	CHEMBL1171499-ACTIVE
COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)ccc5F)C4)C[C@@H]3C(=O)O)c2c1	CHEMBL2382345-ACTIVE
CCCCN(CC)CC#CC#Cc1ccc(Cl)cc1	CHEMBL3093979-ACTIVE
Cc1ccc(-n2c(-c3ncccc3Cl)nc(CNC3CCCC3)c2C(C)C)cn1	CHEMBL561396-ACTIVE
Cc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2cccc(Cl)c2)CC1	CHEMBL2435853-ACTIVE
N[C@H]1CN(c2cnc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F	CHEMBL231196-ACTIVE
CC(C)(C)c1[nH]c2ccccc2c1C1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2Cl)C1	CHEMBL1093351-ACTIVE
CCc1n[nH]c(CC)c1Oc1cc(C#N)cc(C#N)c1	CHEMBL565829-ACTIVE
Cc1cccc(C)c1C(=O)N1CCC(N2CC[C@@H](N(Cc3ccccc3)C(=O)C3CC3)C2)CC1	CHEMBL471623-ACTIVE
C[C@@H]1OCC2(CCN(c3nc(N)c(Sc4ccnc(C5CC5)c4Cl)c(=O)n3C)CC2)[C@@H]1N	CHEMBL4578698-ACTIVE
Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(-c3ccccc3)n(-c3ccccc3)c2Cn2cncn2)CC1	CHEMBL3215850-ACTIVE
COCC(F)(F)COCc1ccc([C@@]2(O)CCNC[C@@H]2c2ccc(-c3ccccc3CCNC(C)=O)cc2C)cc1	CHEMBL1957789-ACTIVE
