COc(cc(cc1)Cl)c1Oc(ccc(Cl)c1)c1Cl	nonbinder1-inactive
Cc1nc([N+]([O-])=O)cn1-c(cc1)ccc1[N+]([O-])=O	nonbinder967-inactive
CC(OCCC1CCCCC1)=O	nonbinder968-inactive
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1	nonbinder969-inactive
COc1cc(O)cc(O)c1	nonbinder970-inactive
CN(C)CCCOC1(Cc2ccccc2)CCCCCC1	nonbinder971-inactive
c1ccc2c3ccc(cccc4)c4c3ccc2c1	nonbinder972-inactive
CC(C)CC=C(C=O)c1ccccc1	nonbinder973-inactive
COc(c1nc(NS(c(c(C(F)(F)F)ccc2)c2OCC(F)F)(=O)=O)nn11)cnc1OC	nonbinder974-inactive
OCC(CO)n1c(-c2nc(Oc3ccccc3)ncc2)c(-c(cc2)ccc2F)nc1	nonbinder975-inactive
CC(C)(C)NCC(Nc1cc(N(C)C)c(CC(CC(C(C(O)=C(C(N)=O)C2=O)N(C)C)C22O)C(C3=O)=C2O)c3c1O)=O	nonbinder976-inactive
CC(C(O)=O)c1cccc(C(c2ccccc2)=O)c1	nonbinder977-inactive
CCOc(nc12)ccc2NC=C(C(NCc2ccccc2)=O)C1=O	nonbinder978-inactive
Cc(cc1)cc(CC(O)=O)c1Nc(c(F)ccc1)c1Cl	nonbinder979-inactive
Cc1cccc(C)c1NC(CN1CCCC1)=O	nonbinder980-inactive
CN(C)CCN(C)CCO	nonbinder981-inactive
CCSC(N1CCCCCC1)=O	nonbinder982-inactive
Clc1nc2ccccc2nc1Cl	nonbinder983-inactive
CC(C)(C)c(cccc1C)c1O	nonbinder984-inactive
CCOP(NC(C)C)(Oc(cc1)cc(C)c1SC)=O	nonbinder985-inactive
CCOC(N(C=CN1C)C1=S)=O	nonbinder986-inactive
C(COCC1OC1)OCC1OC1	nonbinder987-inactive
COP(OC)(O/C(/c(c(Cl)c1)cc(Cl)c1Cl)=C/Cl)=O	nonbinder988-inactive
CC(CSC1C2N)=C(C(O)=O)N1C2=O	nonbinder989-inactive
CC(C)(CC(CC1(C)C)O)N1O	nonbinder990-inactive
C=CN(CCCCC1)C1=O	nonbinder991-inactive
CCC(OC(CC(C1CC2)C3(C)CCC1c(cc1)c2cc1OC(CC)=O)C3OC(CC)=O)=O	nonbinder992-inactive
Nc(c1ccccc11)ccc1N	nonbinder993-inactive
[O-][N+](c(cc1)ccc1N=Nc(cc1)cc(C(O)=O)c1O)=O	nonbinder994-inactive
CC(C(CC=C1C)CC1=O)=C	nonbinder995-inactive
CC(N(Cc1c(N)nc(C)nc1)C=O)=C(CCOP(O)(O)=O)SC(c1ccccc1)=O	nonbinder996-inactive
OC(c(cc(cc1)-c(ccc(F)c2)c2F)c1O)=O	nonbinder997-inactive
NS(c(cc(c(NC(C(C1)C2C=CC1C2)N1)c2)S1(=O)=O)c2Cl)(=O)=O	nonbinder998-inactive
CC(C)CCOCC(CN1CCOCC1)OC(c(cc1OC)cc(OC)c1OC)=O	nonbinder999-inactive
Oc(c(C(Nc(cc1)cc(Cl)c1Oc(cc1)ccc1Cl)=O)cc(I)c1)c1I	nonbinder1000-inactive
[O-][N+](c1nccn1CC(NCCO)=O)=O	nonbinder1001-inactive
CC(c1cc(cccc2)c2s1)=O	nonbinder1002-inactive
CCOP(OCC)(SCSc(cc(cc1)Cl)c1Cl)=S	nonbinder1003-inactive
COC(C(Cc1ccccc1)NC(C(CC(O)=O)N)=O)=O	nonbinder1004-inactive
CC(C)C(C1=O)=C(CN(C)C(C)Cc2ccccc2)N(C)N1c1ccccc1	nonbinder1005-inactive
COc(cc(C1Oc(cc(C(C(C2=O)O)Oc3c2c(O)cc(O)c3)cc2)c2OC1CO)cc1)c1O	nonbinder1006-inactive
CCC(c(c(O)cc(O)c1)c1O)=O	nonbinder1007-inactive
[O-][N+](c(cc1)cc(C(Nc2ccccc2)=O)c1Cl)=O	nonbinder1008-inactive
CC(C)N(C(C)C)C(SCC(Cl)=CCl)=O	nonbinder1009-inactive
OC(c(cccc1)c1NCCc1ccccc1)=O	nonbinder1010-inactive
ONC(C1(CCOCC1)NS(c(cc1)ccc1Oc(cc1)ccc1F)(=O)=O)=O	nonbinder1011-inactive
Cc1c(C)nc(N(C)C)nc1OC(N(C)C)=O	nonbinder1012-inactive
CC1(C(C(C(CC2)OC(/C=C/C=C/C=C/C=C/C(O)=O)=O)OC)C22OC2)OC1CC=C(C)C	nonbinder1013-inactive
C(c1ccccc1)Nc1c2ncn(C3OCCCC3)c2ncn1	nonbinder1014-inactive
CNC(ON=C(C(N(C)C)=O)SC)=O	nonbinder1015-inactive
OC(CCc1nc(cccc2)c2[nH]1)=O	nonbinder1016-inactive
CCCOCCOCCOCCO	nonbinder1017-inactive
N#CCc1cccc(C(F)(F)F)c1	nonbinder1018-inactive
CCC(OCCOc1ccccc1)=O	nonbinder1019-inactive
CCN(CC)c1nc(C)cc(OP(OCC)(OCC)=S)n1	nonbinder1020-inactive
NC(N=CN1C(C2)OC(CO)C2O)=NC1=O	nonbinder1021-inactive
COC(NC(Nc(cccc1)c1NC(NC(OC)=O)=S)=S)=O	nonbinder1022-inactive
CC(C(OCCOCCOC(C(C)=C)=O)=O)=C	nonbinder1023-inactive
NC(C(c(cc1)cc(O)c1O)O)C(O)=O	nonbinder1024-inactive
COc(cc1c(N)nc(Cl)nc1c1)c1OC	nonbinder1025-inactive
Cc(c(C(NCCO)=O)[n+](c1ccccc11)[O-])[n+]1[O-]	nonbinder1026-inactive
CC1(C)C(C(C=CC)=O)=C(C)C=CC1	nonbinder1027-inactive
CC1(C)C(C(/C=C/C)=O)=C(C)CCC1	nonbinder1028-inactive
CC1c2nccnc2CC1	nonbinder1029-inactive
OCC(COC(c(cccc1)c1Nc1c(cccc2C(F)(F)F)c2ncc1)=O)O	nonbinder1030-inactive
Oc1c(cc[nH]2)c2ccc1	nonbinder1031-inactive
O=C(CCCCC1)N1SSN(CCCCC1)C1=O	nonbinder1032-inactive
ClC(C(C(C1(C23Cl)Cl)(C4(Cl)Cl)Cl)(C1(C1(Cl)Cl)Cl)Cl)(C34Cl)C12Cl	nonbinder1033-inactive
O=C(C1CC2OC2CC1)OCC1CC2OC2CC1	nonbinder1034-inactive
NC(CSCC(O)=O)C(O)=O	nonbinder1035-inactive
O=C(c(c(Cl)ccc1)c1Cl)NCc(ncc(C(F)(F)F)c1)c1Cl	nonbinder1036-inactive
CC(C1)(C(CC2)C(CCC(C3)C4(C)CCC3O)C4C1=O)C2C(C)=O	nonbinder1037-inactive
CCCCc1c(C)nc(NCC)nc1O	nonbinder1038-inactive
CC(C)(C#C)NC(c1cc(Cl)cc(Cl)c1)=O	nonbinder1039-inactive
[O-][n+]1cccc(C(O)=O)c1	nonbinder1040-inactive
Cc1cccc(N(C)C(Oc2cc3ccccc3cc2)=S)c1	nonbinder1041-inactive
C=CC(OCC1OCCC1)=O	nonbinder1042-inactive
CCOP(OCC)(Oc(nc1)nn1-c1ccccc1)=S	nonbinder1043-inactive
CC(C)(C1)NC(C)(C)CC1O	nonbinder1044-inactive
CC(C)(c(cc1)cc(-c2ccccc2)c1O)c(cc1)cc(-c2ccccc2)c1O	nonbinder1046-inactive
CC(C)(C)c(cc(C)cc1)c1O	nonbinder1047-inactive
CCC(C)COC(/C=C/c(cc1)ccc1/N=C/c(cc1)ccc1OC)=O	nonbinder1048-inactive
CC(C)c1ccc(cc(C(C)C)cc2)c2c1	nonbinder1049-inactive
Cc1ccc(C)c(O)c1C	nonbinder1050-inactive
O=C(CN1C2(c(cccc3)c3Cl)OCC1)Nc(cc1)c2cc1Cl	nonbinder1051-inactive
CCC(C)c1nccnc1OC	nonbinder1052-inactive
O=C(c(cc1)c2cc1-c(cc1)cc(C(O3)=O)c1C3=O)OC2=O	nonbinder1053-inactive
CCN(CC)CCOC(C=C)=O	nonbinder1055-inactive
O=C1N(CCl)N=Nc2c1cccc2	nonbinder1056-inactive
CC(C)OC(c(cccc1)c1OP(N)(OC)=S)=O	nonbinder1057-inactive
CCCCCCCCCCCC=C	nonbinder1058-inactive
CCCCOc1ccc(CC(NO)=O)cc1	nonbinder1059-inactive
CCc1cc(C)cc(CC)c1C(C(N1N2CCOCC1)=O)=C2OC(C(C)(C)C)=O	nonbinder1060-inactive
Oc(cc1)cc(C2)c1-c1c2cccc1	nonbinder1061-inactive
CCCCCCCCC(NCc(cc1)cc(OC)c1O)=O	nonbinder1062-inactive
CC(C)(C(NC(N1)=O)=O)C1=O	nonbinder1063-inactive
CCC(C)COC(CC(C)C)=O	nonbinder1064-inactive
C[n+](cc(c1c(cc2)OCO1)c2c1ccc2c3)c1c2cc1c3OCO1	nonbinder1065-inactive
O=C(N(CC1OC1)C(N1CC2OC2)=O)N(CC2OC2)C1=O	nonbinder1066-inactive
CCc(cccc1C)c1N	nonbinder1067-inactive
CC(C(OCC1OCCC1)=O)=C	nonbinder1068-inactive
CCCOC(NCCCN(C)C)=O	nonbinder1069-inactive
CC(C)(C)C(C(C=C1C(C)(C)C)=O)=CC1=O	nonbinder1070-inactive
CCCCC(CC)COCC1OC1	nonbinder1071-inactive
C=CC(OCCC(O)=O)=O	nonbinder1072-inactive
O=C(c1c[nH]nc1N1)NC1=O	nonbinder1073-inactive
COC(C(c1ccccc1)=O)(c1ccccc1)OC	nonbinder1074-inactive
CCCCCC(C(CC(OC)=O)CC1)C1=O	nonbinder1075-inactive
CN(CC1)CCN1c1nnc2Oc(cccc3)c3N(C)c2c1	nonbinder1076-inactive
CC(C(CC1)N(C)C)OC1OC(C(C)CC(CC=O)C(C(C(C1)OC(C)=O)OC)OC(C(C2N(C)C)O)OC(C)C2OC(CC2(C)O)OC(C)C2O)/C=C/C=C/CC(C)OC1=O	nonbinder1077-inactive
CCCCCCCCOc(cc1)ccc1C(O)=O	nonbinder1078-inactive
CCOP(OCC)(SCCl)=S	nonbinder1079-inactive
CCCCCCCCCCCCCOC(C(C)=C)=O	nonbinder1080-inactive
CCCCCCCCOC(C=C)=O	nonbinder1081-inactive
CC(C)N(C(c(cccc1)c1N1)=O)S1(=O)=O	nonbinder1082-inactive
CCOC(CN(c(c(S1)ccc2)c2Cl)C1=O)=O	nonbinder1083-inactive
CC(C)C(C)(C)C(C)(C)C(C)(C)S	nonbinder1084-inactive
CCCCC/C=C/C=C/C=O	nonbinder1085-inactive
CC/C=C/CCOC(c1ccccc1)=O	nonbinder1086-inactive
CCOC(Cc(cc1)ccc1OCCc(cc1)ccc1OS(C)(=O)=O)C(O)=O	nonbinder1087-inactive
CN(CCC1)C1c1cccnc1	nonbinder1088-inactive
O=P(Oc1ccccc1)(Oc1ccccc1)Cl	nonbinder1089-inactive
OC(c(cccc1)c1C(OCc1ccccc1)=O)=O	nonbinder1090-inactive
Cc1cc2ccc(cccc3)c3c2cc1	nonbinder1091-inactive
FC(c(cccc1)c1-n1cncc1)(F)F	nonbinder1092-inactive
CN(C)C(CNC(Cc1ccccc1)=O)=O	nonbinder1093-inactive
NC(OCC(COC(N)=O)c1ccccc1)=O	nonbinder1094-inactive
O=C(c(cc(cc1)Cl)c1NS(c(s1)ccc1Cl)(=O)=O)Nc(cc1)ccc1S(N1CCOCC1)(=O)=O	nonbinder1095-inactive
C(CC1)CCC1SSC1CCCCC1	nonbinder1096-inactive
CCCCCC1=CCCC1=O	nonbinder1097-inactive
CCOC([N-]c1c[n+](N2CCOCC2)no1)=O	nonbinder1098-inactive
NCC1CC(CN)CCC1	nonbinder1099-inactive
Cc1c(C(c(cc2)ccc2Cl)=O)c(ccc(OC)c2)c2n1CC(O)=O	nonbinder1100-inactive
CC(C)(C)OC(c(cc1)ccc1O)=O	nonbinder1101-inactive
CC(C)(CCCOc1c(C)ccc(C)c1)C(O)=O	nonbinder1102-inactive
On1nnc2c1cccc2	nonbinder1103-inactive
CCOc1nc(C(Cl)(Cl)Cl)ns1	nonbinder1104-inactive
CCOC(N(C)C(CSP(OCC)(OCC)=S)=O)=O	nonbinder1105-inactive
Cc1nnc(SCC(CSC2C3NC(Cn4nnnc4)=O)=C(C(O)=O)N2C3=O)s1	nonbinder1106-inactive
CCC(C)(C)c(cc1C(C)(C)CC)cc(-n2nc(cccc3)c3n2)c1O	nonbinder1107-inactive
Nc(cc1)ccc1-c1csc(NN)n1	nonbinder1108-inactive
CCCCCCCCCC[N+](C)(C)[O-]	nonbinder1109-inactive
NC(NC(c(nc1Cl)c(N)nc1N)=O)=N	nonbinder1110-inactive
COc(cc1)cc2c1nc(NC(Nc1ccccc1)=O)s2	nonbinder1111-inactive
CCC(CC1N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)=O)N(C(OC(C)C)=O)c2c1cc(C(F)(F)F)cc2	nonbinder1112-inactive
CCOC(C1(C)C)Oc(cc2)c1cc2OS(C)(=O)=O	nonbinder1113-inactive
OC12N=C(c3ccccc3)SC2Cc2c1ccc(Cl)c2	nonbinder1114-inactive
CC(Oc(cc1)ccc1C(c(cc1)ccc1OC(C)=O)=C1CCCCC1)=O	nonbinder1115-inactive
NC(c1c(N)n(C(C2O)OC(CO)C2O)cn1)=O	nonbinder1116-inactive
CC(C)CC(C(CC(NC(C)C(NC(CC(C)C)C(CC(O)=O)O)=O)=O)O)NC(C(C(C)C)NC(C(C(C)C)NC(CC(C)C)=O)=O)=O	nonbinder1117-inactive
CC(C)c1cc(C)cc(OC(NC)=O)c1	nonbinder1118-inactive
CC(C)c(cccc1)c1OC(NC)=O	nonbinder1119-inactive
O=C1NSc2c1cccc2	nonbinder1120-inactive
CC(CCC(O)=O)(C#N)/N=N/C(C)(CCC(O)=O)C#N	nonbinder1121-inactive
CCOP(OCC)(SCN1N=Nc(cccc2)c2C1=O)=S	nonbinder1122-inactive
[O-][N+](c(cc1)ccc1C(NCC(O)=O)=O)=O	nonbinder1123-inactive
CC(CN(c1ccccc1)N1)C1=O	nonbinder1124-inactive
CC(CC(Nc(cc1)cc(N2)c1NC2=O)=O)=O	nonbinder1125-inactive
COP(O)(OP(O)(OC)=O)=O	nonbinder1126-inactive
O=CNC(C(Cl)(Cl)Cl)N(CC1)CCN1C(C(Cl)(Cl)Cl)NC=O	nonbinder1127-inactive
FC(OC(C(F)(F)F)Cl)F	nonbinder1128-inactive
CC(CC(C(CC1)C(C)(CC2O)C1C(C)=O)C2C1(C)CC2)C1=CC2=O	nonbinder1129-inactive
COc(c(Cl)c1)cc(Cl)c1OC	nonbinder1130-inactive
COc1cc(CC=C)cc(C(NCCO)=O)c1O	nonbinder1131-inactive
CC(Cc1c2cccc1)N2NC(c(cc1)cc(S(N)(=O)=O)c1Cl)=O	nonbinder1132-inactive
Nc(c([N+]([O-])=O)cc(Cl)c1)c1Cl	nonbinder1133-inactive
CC(C)(C)NCC(COc1nsnc1N1CCOCC1)O	nonbinder1134-inactive
CCCCCCCCN(CCC1)C1=O	nonbinder1135-inactive
C=CCOC(CCC1CCCCC1)=O	nonbinder1136-inactive
CCCCN(CCCC)CCCCCCN(CCCC)CCCC	nonbinder1137-inactive
Clc(cccc1)c1-c1nc(-c2ccncc2)no1	nonbinder1138-inactive
CC(C)(CS(C)(=O)=O)NC(c(c(C(Nc1c(C)cc(C(C(F)(F)F)(C(F)(F)F)F)cc1)=O)ccc1)c1I)=O	nonbinder1139-inactive
CCCCC(CC)CO[N+]([O-])=O	nonbinder1140-inactive
CNC(C=NN(c1cc(C(F)(F)F)ccc1)C1=O)=C1Cl	nonbinder1141-inactive
OC(C(C(C(O)=O)OC(c1ccccc1)=O)OC(c1ccccc1)=O)=O	nonbinder1142-inactive
CCCCC(COC(CCC(O)=O)=O)(C(N(c1ccccc1)N1c2ccccc2)=O)C1=O	nonbinder1143-inactive
OS(c(cc1)cc2c1[nH]c(-c1ccccc1)n2)(=O)=O	nonbinder1144-inactive
CCC(c1ccccc1)(C(N(COC)C(N1COC)=O)=O)C1=O	nonbinder1145-inactive
NS(c(cc(-c1nnn[nH]1)c(NCc1cccs1)c1)c1Cl)(=O)=O	nonbinder1146-inactive
CCN(CC)CCOc(cc1)cc2c1-c(ccc(OCCN(CC)CC)c1)c1C2=O	nonbinder1147-inactive
CCCCCC(O1)=CC=CC1=O	nonbinder1148-inactive
NNC(c1cccc(C(NN)=O)c1)=O	nonbinder1149-inactive
CC(C)(c1cccc(C(C)(C)N=C=O)c1)N=C=O	nonbinder1150-inactive
O=C(NC(N(C1=O)Cl)=O)N1Cl	nonbinder1151-inactive
CCCc(cc1)cc(OC)c1O	nonbinder1152-inactive
CCOC(/C=C(\C)/O[Ti](OC(C)C)(OC(C)C)O/C(/C)=C/C(OCC)=O)=O	nonbinder1153-inactive
Cc1cccc(N(C)C(Oc2cc(CCC3)c3cc2)=S)c1	nonbinder1154-inactive
CC(CC1O2)C(C(C)(CC3)C(C)(C4O)C(CC5)C3(C3)C3(CC3)C5C(C)(C)C3OC(C(C3O)O)OCC3O)C24OC1C(C)(C)O	nonbinder1155-inactive
CC/C=C/CC/C=C/CO	nonbinder1156-inactive
CC/C=C/CCOC(C)OCC	nonbinder1157-inactive
CC(O)(P(O)(O)=O)P(O)(O)=O	nonbinder1158-inactive
CC(C)C(NC(C)=C1)=NC1=O	nonbinder1159-inactive
CC(C)(C)Nc1nc(NC2CC2)nc(SC)n1	nonbinder1160-inactive
Cc1nc(ccc(Cl)c2)c2[nH]1	nonbinder1161-inactive
CCN(CC)C(SCc(cc1)ccc1Cl)=O	nonbinder1162-inactive
C(C1)CC2C1C1CC2CC1	nonbinder1163-inactive
Oc1cccc2c1CCCC2=O	nonbinder1164-inactive
CC(Nc(cc1)ccc1/N=N/c(cc(C)cc1)c1O)=O	nonbinder1165-inactive
CC(C)CC(OCC=C)=O	nonbinder1166-inactive
NC(c(cc1)ccc1N)=O	nonbinder1167-inactive
CC(C)(C)CC(OC(C1(CCCC1)OC1=O)=C1c1c(C)cc(C)cc1C)=O	nonbinder1168-inactive
CCCCNc1cc(C(O)=O)cc(S(N)(=O)=O)c1Oc1ccccc1	nonbinder1169-inactive
CC(C)(C1)CC(C)(CN)CC1N	nonbinder1170-inactive
Cc(occ1)c1SSc1c(C)occ1	nonbinder1171-inactive
NC(N(c1c(C2)cccc1)c(cccc1)c1C2=O)=O	nonbinder1172-inactive
CC(C)(CC(C)=O)NC(C=C)=O	nonbinder1173-inactive
Cc1c(C)oc(C)c1C(Nc1ccccc1)=O	nonbinder1174-inactive
C(C1OC1)N(CC1OC1)c1ccc(Cc(cc2)ccc2N(CC2OC2)CC2OC2)cc1	nonbinder1175-inactive
CCOC(C(c1ccccc1)Br)=O	nonbinder1176-inactive
COC(C(C(OC)=O)Cl)=O	nonbinder1177-inactive
COc(c(OC)c1)cc(C(N2)=O)c1NC2=O	nonbinder1178-inactive
Cc(cc1)cc(OC2)c1OCC2=O	nonbinder1179-inactive
CC(C)(CC(CC1(C)C)=O)N1O	nonbinder1180-inactive
[O-][n+]1cccc(/C(/Cl)=N\OCC(CN2CCCCC2)O)c1	nonbinder1181-inactive
CC(NC(Cc1ccccc1)C(O)=O)=O	nonbinder1182-inactive
Cc1cc(NC(C(O)=O)=O)cc(C)c1Oc(cc1)c(CCC2)c2c1O	nonbinder1183-inactive
COC(c1cccc(Cl)c1)=O	nonbinder1184-inactive
CCN(CC)c(c([N+]([O-])=O)cc(C(F)(F)F)c1N)c1[N+]([O-])=O	nonbinder1185-inactive
CC(C)NCC(COc1ccc(CC(N)=O)cc1)O	nonbinder1186-inactive
CCOP(OCC)(Oc(nc(c(Cl)c1)Cl)c1Cl)=S	nonbinder1187-inactive
CCC(C(C=C1N2Cc3c(/C=N/OC(C)(C)C)c4ccccc4nc13)=C(CO1)C2=O)(C1=O)O	nonbinder1188-inactive
CCN(CC)C(SCC)=O	nonbinder1189-inactive
CCCCC(CC)COC(COc(cc1)c(C)cc1Cl)=O	nonbinder1190-inactive
CC(C)(C(CC1)CC11C(C)(C)CC2)C1C2=O	nonbinder1191-inactive
CC(C)(c1ccc(C(C)(C)O)cc1)O	nonbinder1192-inactive
CC1N=C(N)OC1c1ccccc1	nonbinder1193-inactive
CC(C)=CCCC(C)=CCCC(C)=CCOC(C)=O	nonbinder1194-inactive
Nc1nc(CC(O)=O)cs1	nonbinder1195-inactive
CC(CC1)(C(CC2)C(CC3)C1C(CC1)C3=CC1OC(C)=O)C2(C#C)OC(C)=O	nonbinder1196-inactive
Oc(cc1)cc(C=O)c1Br	nonbinder1197-inactive
NC(N1c(cccc2)c2C=Cc2c1cccc2)=O	nonbinder1198-inactive
COc(c(occ1)c1cc1C=C2)c1OC2=O	nonbinder1199-inactive
O=C(N1C(CC2)CCN2CC1)Oc(cc1)ccc1Br	nonbinder1200-inactive
CCCCCCCCOC(C(C1O)O)OC(CO)C1O	nonbinder1201-inactive
O=C(c1cnccc1)NCCc1c[nH]c2c1cccc2	nonbinder1202-inactive
COP(OC)(Oc(c(Cl)c1)cc(Cl)c1Cl)=S	nonbinder1203-inactive
CC(C)(C)c(cc1)cc(Cl)c1OP(NC)(OC)=O	nonbinder1204-inactive
CCCOCC(C)OCC(C)O	nonbinder1205-inactive
Cc(c(C)c1)cc2c1sc(N)n2	nonbinder1206-inactive
CCSCc(cccc1)c1OC(NC)=O	nonbinder1207-inactive
CCOC(N(CC1)CCC1=O)=O	nonbinder1208-inactive
CC(CC1)(C(CC2)C(CC3)C1c(cc1)c3cc1OC(N(CCCl)CCCl)=O)C2O	nonbinder1209-inactive
CN(C)N=Nc1c(C(N)=O)[nH]cn1	nonbinder1210-inactive
CCOC(C(c1ccccc1)SP(OC)(OC)=S)=O	nonbinder1211-inactive
CC1(C)C(/C=C/C(/C)=C/C=C/C(/C)=C/C(O)=O)=C(C)CCC1	nonbinder1212-inactive
CN(C(CC1)=O)N=C1C(N)=O	nonbinder1213-inactive
NC(Cc(cc1I)cc(I)c1O)C(O)=O	nonbinder1214-inactive
COP(OC)(OC(C(Cl)(Cl)Br)Br)=O	nonbinder1215-inactive
CC/C=C/C/C=C/C/C=C/CCCCCCCC(OC)=O	nonbinder1216-inactive
CC(C)(C(C1(C)C)O)C1O	nonbinder1217-inactive
CCCCN(CCC1)C1C(Nc1c(C)cc(C)cc1C)=O	nonbinder1218-inactive
NC(c(ccc([N+]([O-])=O)c1)c1Cl)=O	nonbinder1219-inactive
N#CSCc1ccccc1	nonbinder1220-inactive
CCCCC/C=C/C=C/C(OCC)=O	nonbinder1221-inactive
Cc1cccc(Cl)c1NC(c1cnc(Nc2nc(C)nc(N3CCN(CCO)CC3)c2)s1)=O	nonbinder1222-inactive
CCC(C)(C(O)=O)Oc1ccc(C2(CCCCC2)c(cc2)ccc2OC(C)(CC)C(O)=O)cc1	nonbinder1223-inactive
CC(C)c1c(cc(C)c(-c2c(C)cc(c(C(C)C)c(c(O)c3C=O)O)c3c2O)c2O)c2c(C=O)c(O)c1O	nonbinder1224-inactive
CC(C)NC(c(cccc1)c1N)=O	nonbinder1226-inactive
CC(C)N(C(c1c2cccc1)=O)C2=O	nonbinder1227-inactive
CC(Nc(cc1)cc(C2)c1-c(cc1)c2cc1NC(C)=O)=O	nonbinder1228-inactive
CCN(CC)C(c(cc1)cc(OC)c1O)=O	nonbinder1229-inactive
CC(C(N1)=O)=CN(C(C2)OC(CO)C2N=[N+]=[N-])C1=O	nonbinder1230-inactive
CC(C(N1)=O)=CN(C2OC(CO)C=C2)C1=O	nonbinder1231-inactive
CC(NP(OC)(SC)=O)=O	nonbinder1232-inactive
FC(C(C(C(C1(F)F)(F)F)(C(C(C2(F)F)(F)F)(F)F)F)(C2(F)F)F)(C1(C(C(C1(F)F)(F)F)(F)F)F)C1(F)F	nonbinder1234-inactive
CCCc1ncc(C(O)=O)s1	nonbinder1235-inactive
COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1	nonbinder1236-inactive
OC(CC(CC1OC(C=Cc(cc2)cc(O)c2O)=O)(C(O)=O)OC(C=Cc(cc2)cc(O)c2O)=O)C1O	nonbinder1237-inactive
CC(C)(C)c(cc1)ccc1OCC1OC1	nonbinder1238-inactive
CC(C1=NCCN1)Oc(c(Cl)ccc1)c1Cl	nonbinder1239-inactive
CCOP(OCC)(Oc(cc1)ccc1[N+]([O-])=O)=O	nonbinder1240-inactive
Cc(cc(cc1)C(O)=O)c1[N+]([O-])=O	nonbinder1241-inactive
Cc(cc1)cc(C)c1N=Nc(c1ccccc1cc1)c1O	nonbinder1242-inactive
CC(c(cc1)ccc1OCC(N1CCCCC1)=O)=O	nonbinder1243-inactive
Cc(cc(cc1)O)c1SC	nonbinder1244-inactive
CCNP(OC)(O/C(/C)=C/C(OC(C)C)=O)=S	nonbinder1245-inactive
CNC(c1cn(-c2nc(N)c3ncn(C(C4O)OC(CO)C4O)c3n2)nc1)=O	nonbinder1246-inactive
CCC(C(C1)C(C)=CCC1C(C)C)=O	nonbinder1247-inactive
Cc1c(C)n(CCN(C)C)c(cc2)c1cc2C(OCCN(C)C)=O	nonbinder1248-inactive
CCC(C)N(C(C(Br)=C(C)N1)=O)C1=O	nonbinder1249-inactive
COC(Nc1nc(cc(cc2)C(c3cccs3)=O)c2[nH]1)=O	nonbinder1250-inactive
CC(C(C)(C(C)(C(OCC1=CCN(CC2)C1C2O1)=O)O)O)C1=O	nonbinder1251-inactive
O=C1N=CNc2c1cn[nH]2	nonbinder1252-inactive
OC(c(cc(c1ccccc11)O)c1O)=O	nonbinder1253-inactive
O=C1Nc(cc(cc2)Cl)c2Oc2c1cccc2	nonbinder1254-inactive
N=C(C=CN12)N=C1OC1C2OC(CO)C1O	nonbinder1255-inactive
Cc1c(CSc(cc2)cc(C)c2OCC(O)=O)sc(-c2cc(F)c(C(F)(F)F)cc2)n1	nonbinder1256-inactive
OC(C(C(O)=C(C1=O)O)=O)=C1O	nonbinder1257-inactive
CC(C)(CCCC(CC1)=CCC1C=O)O	nonbinder1258-inactive
CNC(c(cccc1)c1Sc(cc1)cc2c1c(/C=C/c1ncccc1)n[nH]2)=O	nonbinder1259-inactive
CC(C)=CCC/C(/C)=C/C#N	nonbinder1260-inactive
CC(C)(C)C(CC1)CCC1OC(C)=O	nonbinder1262-inactive
CC1Nc(cccc2)c2OC1	nonbinder1263-inactive
CCCCCCCCCCCCC1OC1	nonbinder1264-inactive
Oc1ccc(C2(c(cccc3)c3-c3c2cccc3)c(cc2)ccc2O)cc1	nonbinder1265-inactive
Nc(cc1)ccc1-c(cc1)ccc1F	nonbinder1266-inactive
OC(C1OC2=O)C(O)OC1C2O	nonbinder1267-inactive
NC(C(O)=O)c(cc1)ccc1O	nonbinder1268-inactive
CCOC(C=CC(O)=O)=O	nonbinder1269-inactive
O=C(CC(c1ccccc1)=O)C(F)(F)F	nonbinder1270-inactive
CC(OCc(cc1)cc2c1OCO2)=O	nonbinder1271-inactive
OC(CC(CC1OC(C=Cc(cc2)cc(O)c2O)=O)(C(O)=O)O)C1O	nonbinder1272-inactive
C=CCOc(c(Br)cc(Br)c1)c1Br	nonbinder1273-inactive
OC(CCC(C(O)=O)=O)=O	nonbinder1274-inactive
CC(C1)(C1(C)C(N1c2cc(Cl)cc(Cl)c2)=O)C1=O	nonbinder1275-inactive
CCCCC(CC)CNC(CC(C)OC(CCC(O)=O)=O)=O	nonbinder1276-inactive
CC(C)C(OCCC(SSC(CCOC(C(C)C)=O)=C(C)N(Cc1c(N)nc(C)nc1)C=O)=C(C)N(Cc1c(N)nc(C)nc1)C=O)=O	nonbinder1277-inactive
CC(C)(C1C(O)=O)SC(C2N=CN3CCCCCC3)N1C2=O	nonbinder1278-inactive
O=C=Nc1cccc(C(F)(F)F)c1	nonbinder1279-inactive
CC(C(O)=O)c1ccc(C(c2ccccc2)=O)s1	nonbinder1280-inactive
